id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
24137393,Rustige ruime kamer,3219665,Rob,,Bijlmer-Centrum,52.3161,4.96034,Private room,70.0,1,293,2024-08-22,3.75,2,52,67,0363 13D7 987C 3937 507A
24159344,"Large, comfortable room in Amsterdam Noord",4668971,Philip,,Oud-Noord,52.39412,4.92613,Private room,50.0,2,304,2024-08-21,3.99,1,39,65,0363 B9B4 484F 8C88 D798
24733482,Single City Centre,12690109,Jacqueline,,Centrum-West,52.37725,4.89373,Private room,100.0,2,190,2024-09-04,2.49,2,33,46,0363 7A24 219F 5468 2240
25121245,Beautiful separate topfloor room in floating house,13947044,Peter,,IJburg - Zeeburgereiland,52.36366,4.98529,Private room,98.0,1,519,2024-09-04,6.78,1,105,102,0363 BB4F 84EA 9DA1 230D
25966203,Houseboat with a panoramic city-view,195172702,Irene,,Noord-Oost,52.381081,4.966337,Private room,95.0,2,237,2024-09-01,3.17,1,133,28,0363 27F1 00DD 1D10 0572
26035980,Budgetroom met ontbijt inbegrepen,3219665,Rob,,Bijlmer-Centrum,52.31818,4.95891,Private room,62.0,1,447,2024-08-23,5.9,2,16,84,0363 13D7 987C 3937 507A
27464499,3km from Central Station Private Entry | King bed,8741023,Martijn And Kim,,Oud-Noord,52.39911,4.90533,Entire home/apt,91.0,2,328,2024-09-04,4.44,1,250,79,0363 0534 8FEC 8485 9A6A
27466356,"Stylish private studio, 25 min downtown Amsterdam",34581928,Georno,,Noord-West,52.42369,4.88545,Private room,93.0,2,197,2024-08-31,2.71,1,54,43,0363 5F8C 5371 A6D2 463C
27565537,B&B op woonboot met gebruik van fietsen.,207977510,Margreet,,Westerpark,52.38266,4.86201,Private room,100.0,2,195,2024-08-31,2.7,1,24,47,0363 A7D1 30E2 32FC 9EB4
27916775,COZY STYLISH ROOM PARKING WHIRLPOOL WIFI,6127483,Daniella,,Bos en Lommer,52.37807,4.84575,Private room,75.0,1,76,2024-08-14,1.25,3,121,29,0363 A6C0 16C0 2606 7E49
